date,pref,solar_kw,wind_kw
2015-09-30,茨城県,1374618.81,103003.0
2015-09-30,長崎県,530995.8859999999,107570.0
2015-09-30,長野県,774354.7,0.0
2015-09-30,青森県,174194.90000000002,366160.0
2015-09-30,静岡県,1091556.1,134697.8
2015-09-30,香川県,431821.10000000003,0.0
2015-09-30,高知県,242626.85700000002,36150.0
2015-09-30,鳥取県,158698.606,59100.0
2015-09-30,鹿児島県,1028112.024,259961.5
2015-12-31,三重県,886565.2000000001,72000.0
2015-12-31,京都府,332757.0,4502.5
2015-12-31,佐賀県,424568.788,42650.0
2015-12-31,兵庫県,1392819.766,55100.0
2015-12-31,北海道,860603.932,319676.69999999995
2015-12-31,千葉県,1387010.3,66963.0
2015-12-31,和歌山県,307365.10000000003,94660.0
2015-12-31,埼玉県,995398.2000000001,0.0
2015-12-31,大分県,729740.892,11496.4
2015-12-31,大阪府,711769.6,0.0
2015-12-31,奈良県,306622.8,0.0
2015-12-31,宮城県,530615.9,6.4
2015-12-31,宮崎県,706767.4360000001,0.0
2015-12-31,富山県,182572.24099999998,3300.0
2015-12-31,山口県,507900.334,113450.0
2015-12-31,山形県,145112.80000000002,46033.0
2015-12-31,山梨県,423093.60000000003,0.0
2015-12-31,岐阜県,727917.51,9200.0
2015-12-31,岡山県,749890.935,0.0
2015-12-31,岩手県,312681.19999999995,67083.2
2015-12-31,島根県,192991.043,128254.0
2015-12-31,広島県,789953.476,0.0
2015-12-31,徳島県,391647.01800000004,19500.5
2015-12-31,愛媛県,517099.559,89300.0
2015-12-31,愛知県,1588515.6,65960.0
2015-12-31,新潟県,212038.5,28382.1
2015-12-31,東京都,417847.22,3650.0
2015-12-31,栃木県,1164643.2,0.0
2015-12-31,沖縄県,291150.868,16238.0
2015-12-31,滋賀県,489286.7,1500.0
2015-12-31,熊本県,874490.857,30210.4
2015-12-31,石川県,207045.549,124500.0
2015-12-31,神奈川県,553501.0,6270.0
2015-12-31,福井県,131799.816,20000.0
2015-12-31,福岡県,1513591.891,20861.2
2015-12-31,福島県,693259.2,159760.0
2015-12-31,秋田県,99029.9,273793.8
2015-12-31,群馬県,973659.7000000001,340.0
2015-12-31,茨城県,1539342.41,103003.0
2015-12-31,長崎県,586394.536,107570.0
2015-12-31,長野県,815506.6,0.0
2015-12-31,青森県,319579.19999999995,366172.8
2015-12-31,静岡県,1179898.6,134700.8
2015-12-31,香川県,456086.119,0.0
2015-12-31,高知県,259587.10499999998,36150.0
2015-12-31,鳥取県,167205.10600000003,59100.0
2015-12-31,鹿児島県,1088176.864,259961.5
2016-03-31,三重県,974797.2999999999,108000.0
2016-03-31,京都府,347307.0,4502.5
2016-03-31,佐賀県,443076.98799999995,42650.0
2016-03-31,兵庫県,1479200.7660000003,55100.0
2016-03-31,北海道,993112.99,319676.69999999995
2016-03-31,千葉県,1540133.7000000002,66963.0
2016-03-31,和歌山県,347518.9,94660.0
2016-03-31,埼玉県,1046299.0,0.0
2016-03-31,大分県,783799.522,11496.4
2016-03-31,大阪府,729010.1000000001,0.0
2016-03-31,奈良県,321072.7,0.0
2016-03-31,宮城県,580691.2,12.8
2016-03-31,宮崎県,733595.896,0.0
2016-03-31,富山県,202680.769,3300.0
2016-03-31,山口県,557085.8420000001,113450.0
2016-03-31,山形県,168627.80000000002,46033.0
2016-03-31,山梨県,440376.60000000003,0.0
2016-03-31,岐阜県,776122.61,9200.0
2016-03-31,岡山県,817531.225,0.0
2016-03-31,岩手県,330877.4,67083.2
2016-03-31,島根県,211346.468,128257.2
2016-03-31,広島県,846993.9959999999,0.0
2016-03-31,徳島県,414689.56200000003,19500.5
2016-03-31,愛媛県,546748.094,96200.0
2016-03-31,愛知県,1690114.5,65960.0
2016-03-31,新潟県,216741.8,28382.1
2016-03-31,東京都,429690.51999999996,3650.0
2016-03-31,栃木県,1284897.5000000002,0.0
2016-03-31,沖縄県,300512.412,16238.0
2016-03-31,滋賀県,511452.5,1500.0
2016-03-31,熊本県,909110.757,30210.4
2016-03-31,石川県,225162.47699999998,124500.0
2016-03-31,神奈川県,572086.4,6270.0
2016-03-31,福井県,141184.196,20000.0
2016-03-31,福岡県,1561531.081,20870.7
2016-03-31,福島県,765784.1,159760.0
2016-03-31,秋田県,113565.9,277843.0
2016-03-31,群馬県,1042888.1,340.0
2016-03-31,茨城県,1693155.31,103000.0
2016-03-31,長崎県,606066.456,107570.0
2016-03-31,長野県,868603.1000000001,0.0
2016-03-31,青森県,337610.8,366212.4
2016-03-31,静岡県,1249488.1,134400.8
2016-03-31,香川県,497082.477,0.0
2016-03-31,高知県,276110.91500000004,36150.0
2016-03-31,鳥取県,176419.50600000002,59100.0
2016-03-31,鹿児島県,1130274.3059999999,259961.5
2016-06-30,三重県,1061140.6,108000.0
2016-06-30,京都府,365541.0,2252.5
2016-06-30,佐賀県,469894.91799999995,42650.0
2016-06-30,兵庫県,1565638.766,55100.0
2016-06-30,北海道,1025536.5549999999,319676.69999999995
2016-06-30,千葉県,1649901.8,67001.7
2016-06-30,和歌山県,377749.89999999997,94660.0
2016-06-30,埼玉県,1102620.5,0.0
2016-06-30,大分県,809107.0819999999,11496.4
2016-06-30,大阪府,748533.7,0.0
2016-06-30,奈良県,339182.1,0.0
2016-06-30,宮城県,610018.2000000001,12.8
2016-06-30,宮崎県,758614.231,0.0
2016-06-30,富山県,206602.58800000002,3300.0
2016-06-30,山口県,602741.811,113450.0
2016-06-30,山形県,173929.7,46047.7
2016-06-30,山梨県,457453.6,0.0
2016-06-30,岐阜県,820806.3099999999,9200.0
2016-06-30,岡山県,875048.285,0.0
2016-06-30,岩手県,361423.4,67083.2
2016-06-30,島根県,224350.493,176687.2
2016-06-30,広島県,900823.502,0.0
2016-06-30,徳島県,440264.643,19500.5
2016-06-30,愛媛県,576543.053,96200.0
2016-06-30,愛知県,1776172.5,65960.0
2016-06-30,新潟県,224183.59999999998,28382.1
2016-06-30,東京都,439768.82,3650.0
2016-06-30,栃木県,1387482.2000000002,0.0
2016-06-30,沖縄県,312554.631,16128.0
2016-06-30,滋賀県,554526.2000000001,1500.0
2016-06-30,熊本県,956831.419,30210.4
2016-06-30,石川県,240580.97699999998,124506.2
2016-06-30,神奈川県,587504.6000000001,6270.0
2016-06-30,福井県,150226.268,20000.0
2016-06-30,福岡県,1642434.331,20870.7
2016-06-30,福島県,801579.3999999999,159760.0
2016-06-30,秋田県,127863.8,277843.0
2016-06-30,群馬県,1106478.8,340.0
2016-06-30,茨城県,1869345.21,103000.0
