date,solar_kw,wind_kw,area
2018-01-31,1274259.2643555556,356220.2511111111,hokkaido
2018-02-28,1290307.1756444443,358082.74888888886,hokkaido
2018-03-31,1308074.5059999998,360144.8,hokkaido
2018-04-30,1318175.5356703296,370211.41538461536,hokkaido
2018-05-31,1328613.2663296703,380613.5846153846,hokkaido
2018-06-30,1338714.296,390680.19999999995,hokkaido
2018-07-31,1359148.3550652175,390841.5347826087,hokkaido
2018-08-31,1379582.4141304349,391002.86956521735,hokkaido
2018-09-30,1399357.31,391159.0,hokkaido
2018-10-31,1407763.7383695652,398280.475,hokkaido
2018-11-30,1415898.9916304348,405172.225,hokkaido
2018-12-31,1424305.42,412293.69999999995,hokkaido
2019-01-31,1444036.7257333333,412520.8266666666,hokkaido
2019-02-28,1461858.5502666666,412725.9733333333,hokkaido
2019-03-31,1481589.856,412953.1,hokkaido
2019-04-30,1502764.061409836,419749.6737704918,hokkaido
2019-05-31,1524644.0736666666,426772.8,hokkaido
2019-06-30,1545818.2790765027,433569.37377049174,hokkaido
2019-07-31,1567698.2913333334,440592.49999999994,hokkaido
2019-08-31,1589578.303590164,447615.62622950814,hokkaido
2019-09-30,1610752.509,454412.19999999995,hokkaido
2019-10-31,1630778.3492826088,455149.2923913043,hokkaido
2019-11-30,1650158.1947173912,455862.60760869563,hokkaido
2019-12-31,1670184.035,456599.69999999995,hokkaido
2020-01-31,1730805.3345274725,485501.7835164835,hokkaido
2020-02-29,1787515.5824725276,512539.2164835165,hokkaido
2020-03-31,1848136.8820000002,541441.3,hokkaido
2020-04-30,1860719.890791209,541986.7395604396,hokkaido
2020-05-31,1873722.3332087914,542550.3604395605,hokkaido
2020-06-30,1886305.3420000002,543095.8,hokkaido
2020-07-31,1917164.4429565219,543234.3902173913,hokkaido
2020-08-31,1948023.5439130436,543372.9804347826,hokkaido
2020-09-30,1977887.19,543507.1,hokkaido
2020-10-31,2015419.7323913043,543612.2304347826,hokkaido
2020-11-30,2051741.5476086957,543713.9695652174,hokkaido
2020-12-31,2089274.09,543819.1,hokkaido
2021-01-31,2097843.87301105,543869.6933701658,hokkaido
2021-02-28,2105584.3221823205,543915.3906077348,hokkaido
2021-03-31,2114154.10519337,543965.9839779006,hokkaido
2021-04-30,2122447.4435911602,544014.9453038673,hokkaido
2021-05-31,2131017.2266022097,544065.5386740331,hokkaido
2021-06-30,2139310.565,544114.5,hokkaido
2021-07-31,2144395.9714565217,552756.4576086956,hokkaido
2021-08-31,2149481.3779130434,561398.4152173913,hokkaido
2021-09-30,2154402.739,569761.6,hokkaido
2021-10-31,2164335.8735652175,573450.8695652173,hokkaido
2021-11-30,2173948.584434782,577021.1304347826,hokkaido
2021-12-31,2183881.7189999996,580710.3999999999,hokkaido
2022-01-31,2188544.911911111,588552.4355555555,hokkaido
2022-02-28,2192756.8280888884,595635.5644444444,hokkaido
2022-03-31,2197420.0209999997,603477.6,hokkaido
2022-04-30,2199845.8358351644,603110.0175824176,hokkaido
2022-05-31,2202352.511164835,602730.1824175824,hokkaido
2022-06-30,2204778.326,602362.6,hokkaido
2022-07-31,2209613.3420869564,602520.0934782609,hokkaido
2022-08-31,2214448.358173913,602677.5869565217,hokkaido
2022-09-30,2219127.406,602830.0,hokkaido
2022-10-31,2225856.4233586956,596020.5467391304,hokkaido
