file,category,area,duration,month,coef_pct
2024_chouseikeisu,純揚水・蓄電池,北海道,12h,4月,89.0
2024_chouseikeisu,純揚水・蓄電池,北海道,12h,5月,85.5
2024_chouseikeisu,純揚水・蓄電池,北海道,12h,6月,95.0
2024_chouseikeisu,純揚水・蓄電池,北海道,12h,7月,100.0
2024_chouseikeisu,純揚水・蓄電池,北海道,12h,8月,100.0
2024_chouseikeisu,純揚水・蓄電池,北海道,12h,9月,100.0
2024_chouseikeisu,純揚水・蓄電池,北海道,12h,10月,96.7
2024_chouseikeisu,純揚水・蓄電池,北海道,12h,11月,92.2
2024_chouseikeisu,純揚水・蓄電池,北海道,12h,12月,93.4
2024_chouseikeisu,純揚水・蓄電池,北海道,12h,1月,96.7
2024_chouseikeisu,純揚水・蓄電池,北海道,12h,2月,95.5
2024_chouseikeisu,純揚水・蓄電池,北海道,12h,3月,91.5
2024_chouseikeisu,純揚水・蓄電池,北海道,11h,4月,88.0
2024_chouseikeisu,純揚水・蓄電池,北海道,11h,5月,85.5
2024_chouseikeisu,純揚水・蓄電池,北海道,11h,6月,94.9
2024_chouseikeisu,純揚水・蓄電池,北海道,11h,7月,100.0
2024_chouseikeisu,純揚水・蓄電池,北海道,11h,8月,100.0
2024_chouseikeisu,純揚水・蓄電池,北海道,11h,9月,100.0
2024_chouseikeisu,純揚水・蓄電池,北海道,11h,10月,96.7
2024_chouseikeisu,純揚水・蓄電池,北海道,11h,11月,91.8
2024_chouseikeisu,純揚水・蓄電池,北海道,11h,12月,92.7
2024_chouseikeisu,純揚水・蓄電池,北海道,11h,1月,96.2
2024_chouseikeisu,純揚水・蓄電池,北海道,11h,2月,94.1
2024_chouseikeisu,純揚水・蓄電池,北海道,11h,3月,91.3
2024_chouseikeisu,純揚水・蓄電池,北海道,10h,4月,86.7
2024_chouseikeisu,純揚水・蓄電池,北海道,10h,5月,84.9
2024_chouseikeisu,純揚水・蓄電池,北海道,10h,6月,93.9
2024_chouseikeisu,純揚水・蓄電池,北海道,10h,7月,100.0
2024_chouseikeisu,純揚水・蓄電池,北海道,10h,8月,100.0
2024_chouseikeisu,純揚水・蓄電池,北海道,10h,9月,100.0
2024_chouseikeisu,純揚水・蓄電池,北海道,10h,10月,96.7
2024_chouseikeisu,純揚水・蓄電池,北海道,10h,11月,90.8
2024_chouseikeisu,純揚水・蓄電池,北海道,10h,12月,91.5
2024_chouseikeisu,純揚水・蓄電池,北海道,10h,1月,95.0
2024_chouseikeisu,純揚水・蓄電池,北海道,10h,2月,92.0
2024_chouseikeisu,純揚水・蓄電池,北海道,10h,3月,90.4
2024_chouseikeisu,純揚水・蓄電池,北海道,9h,4月,85.1
2024_chouseikeisu,純揚水・蓄電池,北海道,9h,5月,83.7
2024_chouseikeisu,純揚水・蓄電池,北海道,9h,6月,91.9
2024_chouseikeisu,純揚水・蓄電池,北海道,9h,7月,100.0
2024_chouseikeisu,純揚水・蓄電池,北海道,9h,8月,100.0
2024_chouseikeisu,純揚水・蓄電池,北海道,9h,9月,100.0
2024_chouseikeisu,純揚水・蓄電池,北海道,9h,10月,96.1
2024_chouseikeisu,純揚水・蓄電池,北海道,9h,11月,89.2
2024_chouseikeisu,純揚水・蓄電池,北海道,9h,12月,89.6
2024_chouseikeisu,純揚水・蓄電池,北海道,9h,1月,93.1
2024_chouseikeisu,純揚水・蓄電池,北海道,9h,2月,89.2
2024_chouseikeisu,純揚水・蓄電池,北海道,9h,3月,88.7
2024_chouseikeisu,純揚水・蓄電池,北海道,8h,4月,83.1
2024_chouseikeisu,純揚水・蓄電池,北海道,8h,5月,81.8
2024_chouseikeisu,純揚水・蓄電池,北海道,8h,6月,89.0
2024_chouseikeisu,純揚水・蓄電池,北海道,8h,7月,99.8
2024_chouseikeisu,純揚水・蓄電池,北海道,8h,8月,99.1
2024_chouseikeisu,純揚水・蓄電池,北海道,8h,9月,98.5
2024_chouseikeisu,純揚水・蓄電池,北海道,8h,10月,94.6
2024_chouseikeisu,純揚水・蓄電池,北海道,8h,11月,87.0
2024_chouseikeisu,純揚水・蓄電池,北海道,8h,12月,87.1
2024_chouseikeisu,純揚水・蓄電池,北海道,8h,1月,90.4
2024_chouseikeisu,純揚水・蓄電池,北海道,8h,2月,85.9
2024_chouseikeisu,純揚水・蓄電池,北海道,8h,3月,86.4
2024_chouseikeisu,純揚水・蓄電池,北海道,7h,4月,80.8
2024_chouseikeisu,純揚水・蓄電池,北海道,7h,5月,79.3
2024_chouseikeisu,純揚水・蓄電池,北海道,7h,6月,85.1
2024_chouseikeisu,純揚水・蓄電池,北海道,7h,7月,96.7
2024_chouseikeisu,純揚水・蓄電池,北海道,7h,8月,96.2
2024_chouseikeisu,純揚水・蓄電池,北海道,7h,9月,95.3
2024_chouseikeisu,純揚水・蓄電池,北海道,7h,10月,92.4
2024_chouseikeisu,純揚水・蓄電池,北海道,7h,11月,84.3
2024_chouseikeisu,純揚水・蓄電池,北海道,7h,12月,84.0
2024_chouseikeisu,純揚水・蓄電池,北海道,7h,1月,87.1
2024_chouseikeisu,純揚水・蓄電池,北海道,7h,2月,81.9
2024_chouseikeisu,純揚水・蓄電池,北海道,7h,3月,83.4
2024_chouseikeisu,純揚水・蓄電池,北海道,6h,4月,78.1
2024_chouseikeisu,純揚水・蓄電池,北海道,6h,5月,76.2
2024_chouseikeisu,純揚水・蓄電池,北海道,6h,6月,80.2
2024_chouseikeisu,純揚水・蓄電池,北海道,6h,7月,92.1
2024_chouseikeisu,純揚水・蓄電池,北海道,6h,8月,92.1
2024_chouseikeisu,純揚水・蓄電池,北海道,6h,9月,90.8
2024_chouseikeisu,純揚水・蓄電池,北海道,6h,10月,89.3
2024_chouseikeisu,純揚水・蓄電池,北海道,6h,11月,80.9
2024_chouseikeisu,純揚水・蓄電池,北海道,6h,12月,80.3
2024_chouseikeisu,純揚水・蓄電池,北海道,6h,1月,83.0
2024_chouseikeisu,純揚水・蓄電池,北海道,6h,2月,77.3
2024_chouseikeisu,純揚水・蓄電池,北海道,6h,3月,79.6
2024_chouseikeisu,純揚水・蓄電池,北海道,5h,4月,75.1
2024_chouseikeisu,純揚水・蓄電池,北海道,5h,5月,72.4
2024_chouseikeisu,純揚水・蓄電池,北海道,5h,6月,74.4
2024_chouseikeisu,純揚水・蓄電池,北海道,5h,7月,86.2
2024_chouseikeisu,純揚水・蓄電池,北海道,5h,8月,86.8
2024_chouseikeisu,純揚水・蓄電池,北海道,5h,9月,85.1
2024_chouseikeisu,純揚水・蓄電池,北海道,5h,10月,85.4
2024_chouseikeisu,純揚水・蓄電池,北海道,5h,11月,77.0
2024_chouseikeisu,純揚水・蓄電池,北海道,5h,12月,75.9
2024_chouseikeisu,純揚水・蓄電池,北海道,5h,1月,78.1
2024_chouseikeisu,純揚水・蓄電池,北海道,5h,2月,72.1
2024_chouseikeisu,純揚水・蓄電池,北海道,5h,3月,75.2
2024_chouseikeisu,純揚水・蓄電池,北海道,4h,4月,71.8
2024_chouseikeisu,純揚水・蓄電池,北海道,4h,5月,68.0
2024_chouseikeisu,純揚水・蓄電池,北海道,4h,6月,67.6
2024_chouseikeisu,純揚水・蓄電池,北海道,4h,7月,78.8
2024_chouseikeisu,純揚水・蓄電池,北海道,4h,8月,80.3
2024_chouseikeisu,純揚水・蓄電池,北海道,4h,9月,78.1
2024_chouseikeisu,純揚水・蓄電池,北海道,4h,10月,80.7
2024_chouseikeisu,純揚水・蓄電池,北海道,4h,11月,72.5
2024_chouseikeisu,純揚水・蓄電池,北海道,4h,12月,70.9
2024_chouseikeisu,純揚水・蓄電池,北海道,4h,1月,72.6
2024_chouseikeisu,純揚水・蓄電池,北海道,4h,2月,66.3
2024_chouseikeisu,純揚水・蓄電池,北海道,4h,3月,70.1
2024_chouseikeisu,純揚水・蓄電池,北海道,3h,4月,68.1
2024_chouseikeisu,純揚水・蓄電池,北海道,3h,5月,63.0
2024_chouseikeisu,純揚水・蓄電池,北海道,3h,6月,59.9
2024_chouseikeisu,純揚水・蓄電池,北海道,3h,7月,70.0
2024_chouseikeisu,純揚水・蓄電池,北海道,3h,8月,72.6
2024_chouseikeisu,純揚水・蓄電池,北海道,3h,9月,69.8
2024_chouseikeisu,純揚水・蓄電池,北海道,3h,10月,75.1
2024_chouseikeisu,純揚水・蓄電池,北海道,3h,11月,67.4
2024_chouseikeisu,純揚水・蓄電池,北海道,3h,12月,65.3
2024_chouseikeisu,純揚水・蓄電池,北海道,3h,1月,66.3
2024_chouseikeisu,純揚水・蓄電池,北海道,3h,2月,59.9
2024_chouseikeisu,純揚水・蓄電池,北海道,3h,3月,64.2
2024_chouseikeisu,純揚水・蓄電池,東北,20h,4月,95.0
